id,text,label,mode
Ses03M_impro08b_M000,Hello?,neutral,train&valid
Ses03M_impro08b_F001,Oh God I finally got...you know how long I've been waiting on line?  You put on hold for like five hours.  Geez.,frustrated,train&valid
Ses03M_impro08b_M001,I'm sorry ma'am.  What's the nature of your problem?  But first can I get you to tell me your first and last name?,neutral,train&valid
Ses03M_impro08b_F002,I've already been through this five times with these people.  I've been calling every single day.,frustrated,train&valid
Ses03M_impro08b_M002,I know I just need to verify every time.  I'm sorry.,neutral,train&valid
Ses03M_impro08b_F003,Olivia Brown.,frustrated,train&valid
Ses03M_impro08b_M003,Alright Ms. Brown what's the nature of your problem?,neutral,train&valid
Ses03M_impro08b_F004,Well my phone isn't working and it hasn't been working for the last five days.,frustrated,train&valid
Ses03M_impro08b_M004,Oh.  I'm sorry. Um- Did you drop it in water?,neutral,train&valid
Ses03M_impro08b_F005,"Yeah, yeah, yeah you better be sorry.",angry,train&valid
Ses03M_impro08b_F006,No I did not drop my phone in water.  I'm not five years old and just dropped my phone anywhere I see it.  Okay this is my business.,angry,train&valid
Ses03M_impro08b_F007,Okay?  And it [GARBAGE]. My business is failing because my phone isn't working and I don't have a land line and I really can't handle this right now.,frustrated,train&valid
Ses03M_impro08b_M005,"Um- well it's probably easy.  Can you any more symptoms either you're not receiving calls----ok, you're not receiving calls, not getting calls.",neutral,train&valid
Ses03M_impro08b_F008,"the symptoms- This [GARBAGE] a doctor's office. I'm not receiving calls...I can't receive- no, it's, it cuts me off--",frustrated,train&valid
Ses03M_impro08b_M006,Is the phone turned on?,neutral,train&valid
Ses03M_impro08b_F009,Yes the phone turns on.  No I mean I'm using it not turning on the phone.  Of course it turns on.,frustrated,train&valid
Ses03M_impro08b_M007,"Well, um- okay.  Your sim card is in- didn't fall out-",neutral,train&valid
Ses03M_impro08b_F010,No- I don't have a sim card because it's Verizon and you guys don't use sim cards.,frustrated,train&valid
Ses03M_impro08b_M008,Alright.  Um- Well that could be the problem. cause--,neutral,train&valid
Ses03M_impro08b_M009,you might have an older phone where we would use sim cards but probably not.,neutral,train&valid
Ses03M_impro08b_F011,"Okay no.  Sir, this is the deal.  My phone isn't working and I don't care what the problem is but it needs to work.  That's why I'm paying you guys to fix it.",frustrated,train&valid
Ses03M_impro08b_M010,Okay.  How about this we'll send you a brand new camera phone with palm pilot-- and-,neutral,train&valid
Ses03M_impro08b_F012,I don't know even how to use that stuff it's too complicated.  I just want my flip phone to work----that's all I need,frustrated,train&valid
Ses03M_impro08b_M011,"So we'll send it- And we'll give you, how about a free year's service?",neutral,train&valid
Ses03M_impro08b_F013,"Look, I am on the road all the time.  Do you understand how important?  I'm a woman, a single mother by herself working...what?",frustrated,train&valid
Ses03M_impro08b_M012,Tell them my name.  My name is Brent Backersen.,neutral,train&valid
Ses03M_impro08b_F014,"Brent Backersen, I am writing this down, Brent Backersen.  Alright.",frustrated,train&valid
Ses03M_impro08b_M013,Okay.  Tell them my - my ID number is two one three five.,neutral,train&valid
Ses03M_impro08b_M014,"Tell them that.  You can go in, get a brand new phone, they'll hook you up with service even give you a free three months--",neutral,train&valid
Ses03M_impro08b_F015,"I, I, I don't want a contract. Okay. I don't want any contracts.",frustrated,train&valid
Ses03M_impro08b_M015,It will be free.  No contract okay?,neutral,train&valid
Ses03M_impro08b_F016,Really?  No contract?,frustrated,train&valid
Ses03M_impro08b_M016,"Go in there, yeah, go in there.  Tell them Brent Backersen sent you.",neutral,train&valid
Ses03M_impro08b_M017,"the top of the line camera phone, game boy, anything you want. For free. And palm pilot.",neutral,train&valid
Ses03M_impro08b_M018,They might only have orange.,neutral,train&valid
Ses03M_impro08b_M019,"Okay.  They can figure out pink for you.  So go in there and just tell them that and they'll hook you up with other goodies, stuff like that free service, no contract, no nothing.  Just for being a good customer",neutral,train&valid
Ses03M_impro08b_M020,and battling through with us.,neutral,train&valid
Ses03M_impro08b_F021,"Alright. Well-  I guess - I guess that's okay but,",neutral,train&valid
Ses03M_impro08b_M021,Yes.  You just tell them Brent Backersen sent you.,neutral,train&valid
Ses03M_impro08b_F023,Okay.,neutral,train&valid
Ses03M_impro08b_M022,Alright?  Great.  Have a nice evening.,neutral,train&valid
Ses03M_impro08b_F024,Alright Thanks.,neutral,train&valid
Ses05M_impro02_M000,"Sweetheart, I've got to tell you something.  I just got a call.  I'm going to Iraq.",sad,test
